idx,GroupCount,Percent,actual_story
9,4,100,story_18/moral
9,9,81.8181818181818,story_6/old_approach_avoid
9,4,80,story_21/old_approach_avoid
9,6,75,story_1/old_approach_avoid
9,9,75,story_3/old_approach_avoid
9,10,66.6666666666667,story_12/old_approach_avoid
9,6,66.6666666666667,story_16/old_approach_avoid
9,9,64.2857142857143,story_10/old_approach_avoid
9,11,61.1111111111111,story_5/old_approach_avoid
9,14,58.3333333333333,story_13/approach_avoid
9,23,57.5,story_3/moral
9,370,57.2755417956656,story_cost/old_approach_avoid
9,4,57.1428571428571,story_18/old_approach_avoid
9,22,53.6585365853659,story_8/social
9,19,51.3513513513514,story_14/approach_avoid
2,24,51.063829787234,story_15/approach_avoid
9,4,50,story_10/probability
4,2,50,story_10/super
9,6,50,story_11/approach_avoid
2,4,50,story_11/moral
7,4,50,story_12/probability
1,1,50,story_13/old_approach_avoid
9,1,50,story_13/old_approach_avoid
9,8,50,story_19/probability
9,12,50,story_4/moral
9,12,50,story_4/social
9,6,50,story_8/moral
4,3,50,story_8/old_approach_avoid
9,33,48.5294117647059,story_14/moral
9,31,48.4375,story_17/social
9,19,47.5,story_1/probability
9,17,47.2222222222222,story_11/social
9,17,47.2222222222222,story_5/probability
9,32,47.0588235294118,story_20/social
2,15,46.875,story_4/approach_avoid
9,39,46.4285714285714,story_8/super
9,13,46.4285714285714,story_9/moral
9,42,45.6521739130435,story_9/super
9,5,45.4545454545455,story_9/old_approach_avoid
9,32,44.4444444444444,story_3/social
9,16,44.4444444444444,story_7/moral
9,14,43.75,story_10/social
9,7,43.75,story_27/moral
9,28,43.75,story_8/approach_avoid
9,26,43.3333333333333,story_21/probability
9,3,42.8571428571429,story_17/old_approach_avoid
15,3,42.8571428571429,story_17/old_approach_avoid
1,6,42.8571428571429,story_19/old_approach_avoid
9,3,42.8571428571429,story_2/old_approach_avoid
9,3,42.8571428571429,story_20/old_approach_avoid
9,24,42.8571428571429,story_21/approach_avoid
9,29,42.6470588235294,story_23/social
7,39,42.3913043478261,story_7/super
9,25,42.3728813559322,story_20/approach_avoid
9,52,41.9354838709677,story_16/approach_avoid
2,20,41.6666666666667,story_12/moral
9,15,41.6666666666667,story_22/probability
9,33,41.25,story_24/social
9,23,41.0714285714286,story_28/moral
9,31,40.7894736842105,story_13/social
9,13,40.625,story_16/probability
9,13,40.625,story_20/moral
9,17,40.4761904761905,story_24/moral
9,29,40.2777777777778,story_3/probability
9,29,40.2777777777778,story_5/social
9,37,40.2173913043478,story_2/super
4,2,40,story_14/old_approach_avoid
9,2,40,story_14/old_approach_avoid
9,16,40,story_15/probability
9,4,40,story_22/old_approach_avoid
1,2,40,story_23/old_approach_avoid
9,24,40,story_6/approach_avoid
9,4,40,story_7/old_approach_avoid
2,27,39.7058823529412,story_20/probability
9,21,39.622641509434,story_18/social
7,33,39.2857142857143,story_6/super
2,25,39.0625,story_17/approach_avoid
9,14,38.8888888888889,story_17/probability
9,17,38.6363636363636,story_25/moral
9,46,38.3333333333333,story_10/approach_avoid
2,53,37.8571428571429,story_1/approach_avoid
2,12,37.5,story_1/moral
9,3,37.5,story_11/moral
3,3,37.5,story_11/probability
9,3,37.5,story_11/probability
9,3,37.5,story_12/probability
9,24,37.5,story_13/probability
9,3,37.5,story_16/moral
4,6,37.5,story_18/probability
2,45,37.5,story_22/approach_avoid
9,15,37.5,story_24/probability
9,12,37.5,story_6/social
9,23,37.0967741935484,story_19/social
9,28,36.8421052631579,story_5/super
9,25,36.7647058823529,story_9/probability
9,19,36.5384615384615,story_29/moral
4,4,36.3636363636364,story_24/old_approach_avoid
9,26,36.1111111111111,story_10/moral
9,13,36.1111111111111,story_22/social
9,23,35.9375,story_2/probability
9,23,35.9375,story_7/social
9,33,35.8695652173913,story_7/super
9,43,35.8333333333333,story_9/approach_avoid
9,5,35.7142857142857,story_19/old_approach_avoid
9,30,35.7142857142857,story_4/super
9,22,35.4838709677419,story_23/approach_avoid
9,31,35.2272727272727,story_1/super
9,41,34.453781512605,story_5/approach_avoid
2,11,34.375,story_10/social
2,11,34.375,story_23/probability
9,11,34.375,story_5/moral
2,23,34.3283582089552,story_2/approach_avoid
9,15,34.0909090909091,story_15/moral
2,30,34.0909090909091,story_3/super
9,49,34.0277777777778,story_12/approach_avoid
7,4,33.3333333333333,story_1/social
2,48,33.3333333333333,story_12/approach_avoid
9,12,33.3333333333333,story_12/social
2,1,33.3333333333333,story_15/old_approach_avoid
4,1,33.3333333333333,story_15/old_approach_avoid
9,1,33.3333333333333,story_15/old_approach_avoid
2,51,33.3333333333333,story_24/approach_avoid
9,32,33.3333333333333,story_3/approach_avoid
2,4,33.3333333333333,story_6/probability
2,4,33.3333333333333,story_8/moral
3,2,33.3333333333333,story_8/old_approach_avoid
2,25,32.8947368421053,story_5/super
9,22,32.8358208955224,story_2/approach_avoid
9,39,32.7731092436975,story_19/approach_avoid
2,13,32.5,story_7/probability
9,39,32.2314049586777,story_7/approach_avoid
9,18,32.1428571428571,story_26/moral
7,9,32.1428571428571,story_6/moral
2,38,31.6666666666667,story_9/approach_avoid
9,10,31.25,story_13/moral
9,20,31.25,story_17/approach_avoid
9,5,31.25,story_18/probability
9,5,31.25,story_23/moral
9,21,30.8823529411765,story_2/social
9,47,30.718954248366,story_24/approach_avoid
9,27,30.6818181818182,story_3/super
2,11,30.5555555555556,story_14/probability
4,11,30.5555555555556,story_22/social
9,11,30.5555555555556,story_4/probability
9,42,30,story_1/approach_avoid
4,12,30,story_1/probability
4,3,30,story_22/old_approach_avoid
1,3,30,story_7/old_approach_avoid
2,6,30,story_9/social
1,12,29.2682926829268,story_8/social
4,7,29.1666666666667,story_14/social
9,7,29.1666666666667,story_14/social
2,7,29.1666666666667,story_4/social
9,31,28.9719626168224,story_18/approach_avoid
4,2,28.5714285714286,story_2/old_approach_avoid
9,34,28.3333333333333,story_22/approach_avoid
4,9,28.125,story_13/moral
2,34,28.099173553719,story_7/approach_avoid
9,10,27.7777777777778,story_14/probability
4,5,27.7777777777778,story_5/old_approach_avoid
9,10,27.7777777777778,story_8/probability
2,21,27.6315789473684,story_13/social
2,33,27.5,story_10/approach_avoid
4,11,27.5,story_15/probability
9,11,27.5,story_7/probability
4,12,27.2727272727273,story_15/moral
9,3,27.2727272727273,story_24/old_approach_avoid
4,3,27.2727272727273,story_9/old_approach_avoid
2,16,27.1186440677966,story_20/approach_avoid
2,32,26.890756302521,story_19/approach_avoid
2,4,26.6666666666667,story_15/social
9,4,26.6666666666667,story_15/social
15,4,26.6666666666667,story_15/social
2,17,26.5625,story_7/social
9,18,26.4705882352941,story_20/probability
2,18,26.4705882352941,story_9/probability
2,31,26.0504201680672,story_5/approach_avoid
2,16,25.8064516129032,story_23/approach_avoid
9,12,25.531914893617,story_15/approach_avoid
2,27,25.2336448598131,story_18/approach_avoid
15,3,25,story_1/social
7,22,25,story_1/super
2,2,25,story_10/probability
1,1,25,story_10/super
2,1,25,story_10/super
14,2,25,story_16/moral
2,2,25,story_16/social
3,2,25,story_16/social
9,2,25,story_16/social
15,2,25,story_16/social
2,4,25,story_18/probability
2,17,25,story_2/social
2,14,25,story_21/approach_avoid
2,4,25,story_23/moral
9,8,25,story_23/probability
4,4,25,story_27/moral
2,13,25,story_29/moral
4,9,25,story_4/probability
2,8,25,story_5/moral
