cluster1,cluster2,dist
8,13,54.7939868486969
3,8,54.5705846193432
6,8,51.5589072807642
8,10,49.7459787114019
8,12,46.9433023484992
8,14,46.6044722043616
8,11,45.4659754161896
5,8,45.366714753178
4,8,44.718391757338
7,13,43.6003771339364
6,13,43.1666312628079
8,9,42.1803378917183
11,13,41.9199499806587
4,13,41.5626229414627
3,6,39.9823805136474
4,6,39.8266932125118
3,13,39.6169826128478
1,8,39.3360255672183
13,15,39.0739903609651
9,13,38.0809303848178
6,7,36.9091559068423
6,10,36.8567293104671
12,13,36.8400201424942
7,10,36.5023204190281
3,7,35.7749019254935
10,11,33.8665432341339
4,10,33.3078820059995
8,15,33.2065723528555
2,8,32.7558082052343
6,14,32.6197580479354
2,6,32.3436997063528
3,10,31.8042468706185
6,15,31.7143059999634
7,14,31.4838314496473
1,13,31.3630710943107
10,15,30.7110638371145
6,9,30.5871605884565
3,12,30.487990353109
7,12,30.1985745256834
4,12,30.1439813980949
10,12,29.4458932835863
9,10,29.3998671373055
1,6,29.1267481001522
5,7,28.1665682046745
3,11,27.8461945106116
7,11,27.7294910944637
11,14,27.6885202942726
2,13,27.1897636495803
2,3,27.0051243040994
4,14,26.8435132427424
4,7,26.3571258704274
4,11,26.2433740510645
3,14,25.8474938034135
5,13,25.1531352112504
2,11,24.346140275159
14,15,24.2028812643972
12,14,24.1608687605814
4,5,23.7171505560693
2,12,23.5865870730446
3,5,23.1773597433055
5,6,23.1272376476409
12,15,22.7957579229574
7,9,22.7628601682078
1,10,22.7277081900772
9,14,22.4177784485225
3,15,22.3891001032172
2,4,21.8495617333511
9,12,20.9245355754805
1,7,20.6634155624642
2,10,19.6068703928735
7,8,19.5098124883491
11,15,19.2805211882756
1,12,19.1970584168126
5,15,19.1111903193023
1,3,18.1227973657205
1,11,18.0649907124918
9,11,17.2223714224425
5,11,17.1640990176963
2,9,17.1482043867525
2,7,17.0698373113926
5,10,16.8497341622086
5,9,16.338441556866
1,14,15.8550681069246
13,14,15.7359834799047
2,14,14.5614439762222
2,5,14.5219061526219
6,11,14.4004712215955
3,9,14.3062320523805
1,4,14.1562989568571
4,15,13.9839792440705
5,12,13.8804143551161
7,15,13.7842513885541
2,15,13.2830036549792
3,4,11.1341725778833
1,5,11.0343325589508
5,14,10.652507572502
1,2,10.2446194570206
6,12,10.0947872463181
4,9,9.32379217068044
1,15,9.14072151002416
9,15,8.99831084745485
10,13,8.7122898120832
11,12,7.54945035642576
1,9,7.5133029994468
10,14,7.02458478248346
